Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Perplexity AI,https://www.crunchbase.com/organization/perplexity-ai,"San Francisco, California, United States",Perplexity AI is an AI-chat-based conversational search engine that delivers answers to questions using language models.,"Artificial Intelligence (AI), Chatbot, Generative AI, Search Engine, Software",1,,,4,,2024-04-23,63000000,USD,63000000,Venture - Series Unknown,63000000,USD,63000000,165300000,USD,165300000,Venture - Series Unknown,165300000,USD,165300000,"NVIDIA, Kindred Ventures, Nat Friedman, Jeff Bezos, E1 Ventures",2022-01-01,year,Active
Squire,https://www.crunchbase.com/organization/squīr-technologies,"New York, New York, United States",Squire is a booking and payment platform that connects people with great barbers.,"Consumer, Mobile Apps, Point of Sale, Small and Medium Businesses",6,,,11,Late Stage Venture,2021-07-28,60000000,USD,60000000,Series D,60000000,USD,60000000,145070000,USD,145070000,Series D,167070000,USD,167070000,"ICONIQ Capital, Y Combinator, ICONIQ Growth, Tiger Global Management, Trinity Ventures",2015-01-01,year,Active
Pinecone,https://www.crunchbase.com/organization/pinecone,"New York, New York, United States",Pinecone develops a vector database that makes it easy to connect company data with generative AI models.,"Artificial Intelligence (AI), Database, Generative AI, Semantic Search, Vertical Search",23,,,4,Early Stage Venture,2023-11-01,,,,Secondary Market,100000000,USD,100000000,138000000,USD,138000000,Series B,138000000,USD,138000000,"ICONIQ Growth, Andreessen Horowitz, Wing Venture Capital, Sahin Boydas, Tiger Global Management",2019-01-01,year,Active
Promise,https://www.crunchbase.com/organization/promise,"Oakland, California, United States",PromisePay provides a modern payment processing platform built for utilities and government agencies.,"Debt Collections, Financial Services, FinTech, Government, Mobile Payments",28,,,6,Early Stage Venture,2022-08-01,,,,Series B,,,,48120000,USD,48120000,Series B,48120000,USD,48120000,"Y Combinator, Kapor Capital, XYZ Venture Capital, 8VC, The General Partnership",2017-01-01,year,Active
Writer,https://www.crunchbase.com/organization/writer,"San Francisco, California, United States",Writer is a full-stack generative AI platform that helps businesses use large language models to generate written content.,"Content, Generative AI, Natural Language Processing, Productivity Tools, Software, Virtual Assistant",33,,,3,Early Stage Venture,2023-09-18,100000000,USD,100000000,Series B,100000000,USD,100000000,126000000,USD,126000000,Series B,126000000,USD,126000000,"Accenture, Vanguard, Gradient Ventures, ICONIQ Growth, Insight Partners",2020-08-30,day,Active
Octane,https://www.crunchbase.com/organization/octane-lending,"New York, New York, United States",Octane is a financial technology company that focuses on providing financing solutions for powersports dealerships.,"Credit, Financial Services, FinTech, Lending",36,,,16,Late Stage Venture,2024-03-05,300000000,USD,300000000,Debt Financing,52000000,USD,52000000,171215898,USD,171215898,Series D,1883015898,USD,1883015898,"Gaingels, Valar Ventures, Citi Ventures, Third Prime, Trajectory Ventures",2014-01-01,year,Active
Hippocratic AI,https://www.crunchbase.com/organization/hippocratic-ai,"Palo Alto, California, United States","Hippocratic AI aims to develop the first Large Language Model (LLM) specifically designed for healthcare, prioritizing safety and accuracy.","Artificial Intelligence (AI), Generative AI, Health Care, Information Technology",62,,,3,Early Stage Venture,2024-03-18,53000000,USD,53000000,Series A,53000000,USD,53000000,118000000,USD,118000000,Series A,118000000,USD,118000000,"Andreessen Horowitz, General Catalyst, Memorial Hermann Foundation, Cincinnati Children’s, PremjiInvest",2022-01-01,year,Active
Homebase,https://www.crunchbase.com/organization/homebase,"San Francisco, California, United States","Homebase is a software application that provides tools for employee scheduling, time tracking, communication, and task management.","Apps, Human Resources, Professional Services, Software",100,,,8,Late Stage Venture,2024-04-03,60000000,USD,60000000,Series D,60000000,USD,60000000,189000000,USD,189000000,Series D,189000000,USD,189000000,"Notable Capital, Bain Capital Ventures, Y Combinator, L Catterton, Emerson Collective",2014-01-01,year,Active
Instawork,https://www.crunchbase.com/organization/instawork,"San Francisco, California, United States",Instawork is an on-demand staffing app for gig workers and hospitality businesses.,"Human Resources, Information Technology, Marketplace, Recruiting, SaaS",113,,,7,Late Stage Venture,2023-05-18,60000000,USD,60000000,Series D,60000000,USD,60000000,148000000,USD,148000000,Series D,148000000,USD,148000000,"TCV, Y Combinator, Soma Capital, Google Ventures, Benchmark",2015-01-01,year,Active
CloudTrucks,https://www.crunchbase.com/organization/cloudtrucks,"San Francisco, California, United States",CloudTrucks offers a virtual trucking carrier application designed to reduce operating costs for truck drivers.,"Apps, Artificial Intelligence (AI), Freight Service, Logistics, Shipping, Transportation",122,,,3,Early Stage Venture,2021-11-30,115000000,USD,115000000,Series B,115000000,USD,115000000,141600000,USD,141600000,Series B,141600000,USD,141600000,"Abstract Ventures, Flexport, Caffeinated Capital, Khosla Ventures, Kindred Ventures",2019-01-01,year,Active
